#{"t_start": 1764539422.430748, "env_id": "dm_control/cartpole-swingup-v0"}
r,l,t
29.05056,1000,0.144822
59.506372,1000,0.284222
35.508869,1000,0.671235
119.894851,1000,0.812001
9.580201,1000,1.200916
56.084808,1000,1.349234
193.307557,1000,1.741226
161.129271,1000,1.881646
178.2004,1000,2.269987
199.744832,1000,2.417216
211.869351,1000,2.808281
193.422736,1000,2.957007
150.944827,1000,3.341031
183.246418,1000,3.482228
148.383849,1000,3.866838
229.395765,1000,4.008435
239.83308,1000,4.393271
227.630142,1000,4.535297
164.887439,1000,4.92227
184.475295,1000,5.070746
188.61647,1000,5.462618
242.724155,1000,5.605778
140.751871,1000,5.989867
218.460473,1000,6.13095
211.747512,1000,6.519538
191.633681,1000,6.661465
194.170547,1000,7.046078
199.158631,1000,7.18863
217.268397,1000,7.57237
192.875351,1000,7.715372
223.450346,1000,8.100501
189.619495,1000,8.242577
242.16465,1000,8.627565
223.937754,1000,8.769436
204.253648,1000,9.153045
232.62866,1000,9.301651
201.446412,1000,9.690507
267.758985,1000,9.832099
286.446962,1000,10.214802
220.980607,1000,10.356183
330.049852,1000,10.739132
248.523136,1000,10.883059
186.007667,1000,11.02683
254.332014,1000,11.41474
224.615041,1000,11.559615
253.232099,1000,11.94729
261.146405,1000,12.090688
222.339114,1000,12.477659
380.088312,1000,12.62089
269.991983,1000,13.006527
346.915452,1000,13.151389
247.2398,1000,13.546611
262.753965,1000,13.700949
259.172759,1000,14.093396
270.172409,1000,14.241286
334.64848,1000,14.629633
288.064554,1000,14.773165
250.79867,1000,15.157992
371.044125,1000,15.301125
357.075001,1000,15.688744
303.963622,1000,15.837025
233.59995,1000,16.224366
297.346798,1000,16.369959
245.493243,1000,16.767687
410.6063,1000,16.920569
289.488141,1000,17.313629
459.119728,1000,17.45703
430.267183,1000,17.849421
315.931936,1000,18.003736
352.879853,1000,18.395501
255.865356,1000,18.539595
429.808117,1000,18.924865
293.0964,1000,19.068083
272.086314,1000,19.455293
485.603079,1000,19.603596
288.419259,1000,19.99449
270.049125,1000,20.143652
278.898331,1000,20.537604
486.991884,1000,20.692533
410.765922,1000,21.088137
322.293047,1000,21.232101
477.125976,1000,21.62663
299.938566,1000,21.782853
403.30531,1000,22.181084
337.94773,1000,22.325988
469.127283,1000,22.470192
549.109072,1000,22.867472
500.576473,1000,23.021556
235.055601,1000,23.409232
344.065217,1000,23.554396
331.312835,1000,23.944821
297.173058,1000,24.09261
277.715442,1000,24.489905
365.802261,1000,24.644236
255.682101,1000,25.032646
438.440139,1000,25.176781
451.919986,1000,25.564924
406.06722,1000,25.713246
443.25863,1000,26.100288
401.604778,1000,26.244933
