#{"t_start": 1764539395.8791392, "env_id": "dm_control/cartpole-swingup-v0"}
r,l,t
25.793513,1000,0.611121
38.408942,1000,0.751257
57.54665,1000,1.185896
73.743635,1000,1.328601
104.838818,1000,1.715304
89.850266,1000,1.858005
13.596222,1000,2.24006
62.199865,1000,2.378547
97.853401,1000,2.758844
32.848386,1000,2.89778
71.014637,1000,3.284283
66.665512,1000,3.422321
154.133513,1000,3.800794
205.301708,1000,3.939266
243.326666,1000,4.328277
275.040847,1000,4.468808
186.149906,1000,4.853016
283.438042,1000,4.991726
209.07724,1000,5.372654
295.092352,1000,5.513107
215.031946,1000,5.894109
284.605846,1000,6.033073
227.251443,1000,6.412756
256.839839,1000,6.551363
246.970937,1000,6.932491
282.73725,1000,7.071301
273.146071,1000,7.45278
232.235392,1000,7.590535
224.254499,1000,7.972975
248.693336,1000,8.113502
263.072175,1000,8.494082
351.29687,1000,8.631589
269.236247,1000,9.011097
319.555654,1000,9.154246
319.156469,1000,9.537232
269.013461,1000,9.681879
224.575032,1000,10.067539
258.769068,1000,10.21236
244.614929,1000,10.597464
281.686502,1000,10.736311
268.326316,1000,11.116435
291.259033,1000,11.257525
277.538781,1000,11.398557
249.605653,1000,11.779281
281.810607,1000,11.919005
287.076149,1000,12.312959
367.341597,1000,12.452291
269.245909,1000,12.833995
377.457068,1000,12.975928
279.945111,1000,13.362196
301.723171,1000,13.500552
373.405073,1000,13.881452
334.990169,1000,14.021261
297.701737,1000,14.402121
290.230844,1000,14.541074
287.210739,1000,14.929118
345.0731,1000,15.079001
343.573062,1000,15.465027
364.691974,1000,15.603848
361.460269,1000,15.984696
333.58351,1000,16.123745
315.157358,1000,16.509299
299.679814,1000,16.656206
357.038108,1000,17.040631
313.90684,1000,17.180487
362.019119,1000,17.560229
380.720477,1000,17.699759
383.946479,1000,18.085643
420.600128,1000,18.226166
380.653636,1000,18.607268
365.42603,1000,18.747023
438.18412,1000,19.126632
309.536864,1000,19.265374
453.877233,1000,19.646168
430.606111,1000,19.784821
356.529792,1000,20.165651
396.332446,1000,20.305253
404.511513,1000,20.68401
364.518493,1000,20.823717
448.020744,1000,21.204171
378.404057,1000,21.343136
345.908244,1000,21.72059
432.223351,1000,21.859339
505.904095,1000,22.236347
399.567275,1000,22.376987
393.677178,1000,22.51644
379.59614,1000,22.904273
337.862391,1000,23.054105
430.112501,1000,23.439184
368.268895,1000,23.578566
396.72497,1000,23.959344
496.876175,1000,24.099056
452.879443,1000,24.480434
427.506744,1000,24.618913
304.61141,1000,25.001077
277.672656,1000,25.139217
440.929012,1000,25.51998
374.011642,1000,25.659459
296.24297,1000,26.046643
551.862684,1000,26.19715
